,!PAYMETH,NAME,REFNUM,TIMESTAMP,HIDDEN
0,PAYMETH,Cash,1,934380892,N
1,PAYMETH,Check,2,934380892,N
2,PAYMETH,American Express,3,934380930,N
3,PAYMETH,Discover,4,934380930,N
4,PAYMETH,Master Card,5,934380930,N
5,PAYMETH,VISA,6,934380930,N
6,PAYMETH,Barter,7,1071525059,N
7,PAYMETH,E-Check,8,1250823083,N
